#A        I
21.5      0.75
21.6      0.74
21.7      0.71
21.8      0.70
21.9      0.71
22.0      0.84
22.1      1.00
22.2      1.20
22.3      1.50
22.4      1.80
22.5      2.15
22.6      2.35
22.7      2.45
22.8      2.40
22.9      3.25
23.0      2.05
23.1      1.90
23.2      1.80
23.3      1.85
23.4      2.00
23.5      2.30
23.6      2.65
23.7      2.80
23.8      3.10
23.9      3.30
24.0      3.20
24.1      3.00
24.2      2.80
24.3      2.40
24.4      2.10
24.5      1.80
24.6      1.85
24.7      1.90
24.8      2.05
24.9      2.25
25.0      2.40
25.1      2.50
25.2      2.50
25.3      2.40
25.4      2.10
25.5      1.80
25.6      1.50
25.7      1.20
25.8      0.95
25.9      0.88
26.0      0.81
26.1      0.80
26.2      0.81
26.3      0.82
26.4      0.82
